b_values,p0_values,loglikelihood
4.0526314,-11.473684,1728.5603
4.0526314,-11.315789,571.1417
4.0526314,-11.157895,1228.9993
4.0526314,-11.0,9473.842
3.9210527,-14.0,98320.94
3.9210527,-13.842105,5256.9326
3.9210527,-13.684211,45.910847
3.9210527,-13.526316,1763.8479
3.9210527,-13.368422,10770.218
3.9210527,-13.210526,704.1359
3.9210527,-13.052631,63590.008
3.9210527,-12.894737,42783.867
3.9210527,-12.736842,157.83264
3.9210527,-12.578947,23.2982
3.9210527,-12.421053,8749.727
3.9210527,-12.263158,54113.305
3.9210527,-12.105263,33812.3
3.9210527,-11.947369,6944.1953
3.9210527,-11.789474,576.763
3.9210527,-11.631578,2118.057
3.9210527,-11.473684,79900.734
3.9210527,-11.315789,156.24834
3.9210527,-11.157895,27719.537
3.9210527,-11.0,943.279
3.7894738,-14.0,4678.2856
3.7894738,-13.842105,19849.576
3.7894738,-13.684211,202836.95
3.7894738,-13.526316,8292.484
3.7894738,-13.368422,33141.996
3.7894738,-13.210526,43982.934
3.7894738,-13.052631,2378.203
3.7894738,-12.894737,102.966
3.7894738,-12.736842,3.5434835
3.7894738,-12.578947,3337.5525
3.7894738,-12.421053,1173.8914
3.7894738,-12.263158,76.48016
3.7894738,-12.105263,1328.8591
3.7894738,-11.947369,834.2408
3.7894738,-11.789474,10277.612
3.7894738,-11.631578,50742.836
3.7894738,-11.473684,779.13416
3.7894738,-11.315789,187.12117
3.7894738,-11.157895,2674.3801
3.7894738,-11.0,171.60999
3.6578948,-14.0,243618.42
3.6578948,-13.842105,29360.48
3.6578948,-13.684211,2566.1792
3.6578948,-13.526316,134201.88
3.6578948,-13.368422,2734.7468
3.6578948,-13.210526,4.604773
3.6578948,-13.052631,8.335357
3.6578948,-12.894737,3214.5173
3.6578948,-12.736842,12.427258
3.6578948,-12.578947,3048.2869
3.6578948,-12.421053,349320.94
3.6578948,-12.263158,664.4298
3.6578948,-12.105263,62256.05
3.6578948,-11.947369,402.56848
3.6578948,-11.789474,10.474437
3.6578948,-11.631578,187153.33
3.6578948,-11.473684,127.72113
3.6578948,-11.315789,113550.0
3.6578948,-11.157895,317.58176
3.6578948,-11.0,433.8037
3.5263157,-14.0,220635.64
3.5263157,-13.842105,423.06445
3.5263157,-13.684211,25354.629
3.5263157,-13.526316,3276.5496
3.5263157,-13.368422,99123.53
3.5263157,-13.210526,15.648195
3.5263157,-13.052631,1094.895
3.5263157,-12.894737,5743.384
3.5263157,-12.736842,48.898968
3.5263157,-12.578947,19.512915
3.5263157,-12.421053,13.856645
3.5263157,-12.263158,35535.555
3.5263157,-12.105263,8.427488
3.5263157,-11.947369,403.21838
3.5263157,-11.789474,610.65454
3.5263157,-11.631578,40329.613
3.5263157,-11.473684,6091.945
3.5263157,-11.315789,1441.5901
3.5263157,-11.157895,7940.549
3.5263157,-11.0,17007.85
3.3947368,-14.0,191.8677
3.3947368,-13.842105,1479.8793
3.3947368,-13.684211,72.95237
3.3947368,-13.526316,6.3515487
3.3947368,-13.368422,44265.504
3.3947368,-13.210526,3295.2883
3.3947368,-13.052631,18468.463
3.3947368,-12.894737,223540.94
3.3947368,-12.736842,429.2625
3.3947368,-12.578947,3940.749
3.3947368,-12.421053,481.1731
3.3947368,-12.263158,16251.661
3.3947368,-12.105263,2756.9802
3.3947368,-11.947369,37628.77
3.3947368,-11.789474,523.3275
3.3947368,-11.631578,5.133238
3.3947368,-11.473684,63.908497
3.3947368,-11.315789,2169.1655
3.3947368,-11.157895,2895.0803
3.3947368,-11.0,543.6811
3.2631578,-14.0,625.39307
3.2631578,-13.842105,133289.67
3.2631578,-13.684211,5201.0356
3.2631578,-13.526316,30705.377
3.2631578,-13.368422,716.90234
3.2631578,-13.210526,2575.0242
3.2631578,-13.052631,28417.564
3.2631578,-12.894737,9104.722
3.2631578,-12.736842,2584.2532
3.2631578,-12.578947,42090.035
3.2631578,-12.421053,17.908392
3.2631578,-12.263158,33897.6
3.2631578,-12.105263,185.1044
3.2631578,-11.947369,88792.55
3.2631578,-11.789474,20733.697
3.2631578,-11.631578,3157.7537
3.2631578,-11.473684,17383.02
3.2631578,-11.315789,11959.752
3.2631578,-11.157895,37.572792
3.2631578,-11.0,6860.776
3.131579,-14.0,694.269
3.131579,-13.842105,88366.805
3.131579,-13.684211,4099.9185
3.131579,-13.526316,399.07986
3.131579,-13.368422,5390.4736
3.131579,-13.210526,440.2379
3.131579,-13.052631,974.8643
3.131579,-12.894737,20.216387
3.131579,-12.736842,53632.63
3.131579,-12.578947,153.9315
3.131579,-12.421053,30.89547
3.131579,-12.263158,637.47144
3.131579,-12.105263,49.960606
3.131579,-11.947369,333491.9
3.131579,-11.789474,11003.785
3.131579,-11.631578,8771.406
3.131579,-11.473684,24128.56
3.131579,-11.315789,8142.0913
3.131579,-11.157895,21.180855
3.131579,-11.0,35811.3
3.0,-14.0,83.509056
3.0,-13.842105,2935.8032
3.0,-13.684211,5.7335873
3.0,-13.526316,102315.766
3.0,-13.368422,107925.7
3.0,-13.210526,6722.278
3.0,-13.052631,46.973812
3.0,-12.894737,32501.148
3.0,-12.736842,45443.668
3.0,-12.578947,81397.6
3.0,-12.421053,12.645011
3.0,-12.263158,1746.6318
3.0,-12.105263,5233.152
3.0,-11.947369,2380.2432
3.0,-11.789474,114588.14
3.0,-11.631578,37.879158
3.0,-11.473684,4039.7898
3.0,-11.315789,53756.844
3.0,-11.157895,23.899397
3.0,-11.0,2.9856174
