b_values,p0_values,loglikelihood
7.0789475,-11.0,11037.761
7.2105265,-14.0,1376.3202
7.2105265,-13.842105,2703.0479
7.2105265,-13.684211,93994.83
7.2105265,-13.526316,14188.48
7.2105265,-13.368422,81.07745
7.2105265,-13.210526,990.43054
7.2105265,-13.052631,508.8672
7.2105265,-12.894737,6460.2485
7.2105265,-12.736842,2849.2437
7.2105265,-12.578947,8430.253
7.2105265,-12.421053,12769.029
7.2105265,-12.263158,236390.55
7.2105265,-12.105263,189.6699
7.2105265,-11.947369,12714.547
7.2105265,-11.789474,4039.5415
7.2105265,-11.631578,1142.4604
7.2105265,-11.473684,3616.3816
7.2105265,-11.315789,37054.457
7.2105265,-11.157895,13.376863
7.2105265,-11.0,190.96742
7.3421054,-14.0,19594.133
7.3421054,-13.842105,255222.67
7.3421054,-13.684211,11928.322
7.3421054,-13.526316,2253.2058
7.3421054,-13.368422,88.369934
7.3421054,-13.210526,1347.9448
7.3421054,-13.052631,45297.742
7.3421054,-12.894737,36535.52
7.3421054,-12.736842,30859.748
7.3421054,-12.578947,33.67033
7.3421054,-12.421053,20452.693
7.3421054,-12.263158,5.7338905
7.3421054,-12.105263,1145.5865
7.3421054,-11.947369,9357.484
7.3421054,-11.789474,7.248078
7.3421054,-11.631578,8.731289
7.3421054,-11.473684,47470.945
7.3421054,-11.315789,3826.3677
7.3421054,-11.157895,57.911327
7.3421054,-11.0,36804.15
7.4736843,-14.0,33991.562
7.4736843,-13.842105,6.688197
7.4736843,-13.684211,4949.421
7.4736843,-13.526316,178.4201
7.4736843,-13.368422,9.885354
7.4736843,-13.210526,2342.2344
7.4736843,-13.052631,340669.25
7.4736843,-12.894737,107.312454
7.4736843,-12.736842,31780.41
7.4736843,-12.578947,345108.9
7.4736843,-12.421053,444.42117
7.4736843,-12.263158,91.21403
7.4736843,-12.105263,2677.775
7.4736843,-11.947369,32189.787
7.4736843,-11.789474,7543.8794
7.4736843,-11.631578,1494.9214
7.4736843,-11.473684,9789.636
7.4736843,-11.315789,13248.617
7.4736843,-11.157895,20521.35
7.4736843,-11.0,16407.691
7.605263,-14.0,34848.47
7.605263,-13.842105,123585.5
7.605263,-13.684211,404.39337
7.605263,-13.526316,805.5125
7.605263,-13.368422,51321.516
7.605263,-13.210526,4730.279
7.605263,-13.052631,19050.95
7.605263,-12.894737,195380.84
7.605263,-12.736842,20.522007
7.605263,-12.578947,283562.0
7.605263,-12.421053,56761.758
7.605263,-12.263158,5.7241254
7.605263,-12.105263,3370.1384
7.605263,-11.947369,161694.25
7.605263,-11.789474,43722.45
7.605263,-11.631578,263.33423
7.605263,-11.473684,1133.7499
7.605263,-11.315789,11367.29
7.605263,-11.157895,4656.3535
7.605263,-11.0,58.831978
7.736842,-14.0,17628.588
7.736842,-13.842105,1424.6675
7.736842,-13.684211,320902.25
7.736842,-13.526316,10673.635
7.736842,-13.368422,2339.7756
7.736842,-13.210526,3231.5686
7.736842,-13.052631,242112.56
7.736842,-12.894737,42620.824
7.736842,-12.736842,159046.08
7.736842,-12.578947,87670.88
7.736842,-12.421053,16587.232
7.736842,-12.263158,44598.223
7.736842,-12.105263,28321.824
7.736842,-11.947369,70897.79
7.736842,-11.789474,441.0168
7.736842,-11.631578,440.89706
7.736842,-11.473684,1379.9873
7.736842,-11.315789,2591.0518
7.736842,-11.157895,34413.13
7.736842,-11.0,11609.007
7.868421,-14.0,3.5585163
7.868421,-13.842105,50623.707
7.868421,-13.684211,212871.94
7.868421,-13.526316,366594.16
7.868421,-13.368422,5.7746544
7.868421,-13.210526,430.2635
7.868421,-13.052631,1264.2277
7.868421,-12.894737,88293.27
7.868421,-12.736842,17881.084
7.868421,-12.578947,84.75231
7.868421,-12.421053,53741.207
7.868421,-12.263158,8036.967
7.868421,-12.105263,39348.43
7.868421,-11.947369,59.539444
7.868421,-11.789474,160741.55
7.868421,-11.631578,17155.225
7.868421,-11.473684,15538.609
7.868421,-11.315789,1037.6093
7.868421,-11.157895,9553.142
7.868421,-11.0,196671.95
8.0,-14.0,27668.537
8.0,-13.842105,169727.42
8.0,-13.684211,15762.377
8.0,-13.526316,3300.0352
8.0,-13.368422,5677.581
8.0,-13.210526,57798.676
8.0,-13.052631,81.41199
8.0,-12.894737,6327.289
8.0,-12.736842,3054.6748
8.0,-12.578947,9901.978
8.0,-12.421053,54325.39
8.0,-12.263158,4697.922
8.0,-12.105263,2941.6738
8.0,-11.947369,15383.966
8.0,-11.789474,991.4347
8.0,-11.631578,20513.86
8.0,-11.473684,5619.199
8.0,-11.315789,222425.89
8.0,-11.157895,180.22647
8.0,-11.0,1325.8514
